Type of query,Query,Proximity Value,Rank,Score,Link,Feedback
Keyword,list of MoUs,0.0,1,112.34903,https://iitpkd.ac.in/news/mou-bexel-india-consulting,✔️
Keyword,list of MoUs,0.0,2,109.980934,https://iitpkd.ac.in/news/mou-between-iit-palakkad-and-kssia,✔️
Keyword,list of MoUs,0.0,3,103.174515,https://iitpkd.ac.in/news/techin-signs-mou-gec-palakkad,✔️
Keyword,list of MoUs,0.0,4,102.18971,https://iitpkd.ac.in/news/iit-palakkad-signs-mou-keystone-foundation,✔️
Keyword,list of MoUs,0.0,5,102.04785,https://iitpkd.ac.in/news/mou-iit-palakkad-and-nss-college-engineering,✔️
Keyword,list of MoUs,0.0,6,97.949524,https://iitpkd.ac.in/news/techin-signed-mou-nss-college-engineering,✔️
Keyword,list of MoUs,0.0,7,96.33377,https://iitpkd.ac.in/news/iit-palakkad-signed-mou-college-engineering-trivandrum-yesterday,✔️
Keyword,list of MoUs,0.0,8,95.9435,https://iitpkd.ac.in/news/iit-pkd-signs-mou-iaf-3d-metal-additive-manufacturing,✔️
Keyword,list of MoUs,0.0,9,95.319,https://iitpkd.ac.in/events/signing-mou-continentals-technical-centre-india-tci,✔️
Keyword,list of MoUs,0.0,10,94.51878,https://iitpkd.ac.in/news/iit-palakkad-inks-mou-rajiv-gandhi-institute-technology-rit-kottayam,✔️
Phrase,Board of Academic,0.0,1,8.13567,https://iitpkd.ac.in/senate,✔️
Phrase,Board of Academic Courses,0.0,1,22.19521,https://iitpkd.ac.in/senate,✔️
Phrase,Board of Academic Courses,0.0,2,14.019058,https://cse.iitpkd.ac.in/announce,✖️
Phrase,Board of Academic Courses,0.0,3,13.58366,https://iitpkd.ac.in/general-administration,✔️
Phrase,BAC,0.0,1,22.19521,https://iitpkd.ac.in/senate,✔️
Phrase,BAC,0.0,2,14.019058,https://cse.iitpkd.ac.in/announce,✖️
Phrase,BAC,0.0,3,13.58366,https://iitpkd.ac.in/general-administration,✔️
Image,Director seshadri sekhar,0.0,1,186.83124,iitpkd.ac.in/sites/default/files/iit-director.jpg,✔️
Image,Director seshadri sekhar,0.0,2,97.591034,iitpkd.ac.in/sites/default/files/styles/width_scale/public/default_images/default-news-image_0.png?itok=zUiC1Qw1,➖
Image,Director seshadri sekhar,0.0,3,82.40144,iitpkd.ac.in/sites/default/files/styles/with_scale_/public/pictures/2023-02/DIRECTOR%20PHOTO.jpg?itok=WPneGQ7p,✔️
Image,Director seshadri sekhar,0.0,4,82.40144,iitpkd.ac.in/sites/default/files/styles/with_scale_/public/pictures/2023-02/DIRECTOR%20PHOTO.jpg?itok=WPneGQ7p,✔️
Image,Director seshadri sekhar,0.0,5,79.4261,iitpkd.ac.in/sites/default/files/styles/rectangular_thumbnail/public/2023-03/iit_pkd_ktu.jpeg?itok=NH6jiXco,➖
Image,Director seshadri sekhar,0.0,6,78.62458,iitpkd.ac.in/sites/default/files/styles/width_scale/public/2023-03/dsc06458.jpeg?itok=ujt4SZ4A,➖
Image,Director seshadri sekhar,0.0,7,77.06912,iitpkd.ac.in/sites/default/files/styles/rectangular_thumbnail/public/2023-03/iit_pkd_cet_mou.jpeg?itok=KPUDMeZv,➖
Image,Director seshadri sekhar,0.0,8,73.43705,iitpkd.ac.in/sites/default/files/styles/width_scale/public/2023-03/orientation-program-collage.jpeg?itok=JBqSEOGb,➖
Image,Director seshadri sekhar,0.0,9,70.13191,iitpkd.ac.in/sites/default/files/styles/width_scale/public/2023-03/iit_pkd_ktu.jpeg?itok=OsnvBMqd,➖
Image,Director seshadri sekhar,0.0,10,66.834984,iitpkd.ac.in/sites/default/files/styles/width_scale/public/default_images/default-news-image_0.png?itok=zUiC1Qw1,➖
Image,union minister visit,0.0,1,264.31885,iitpkd.ac.in/sites/default/files/styles/width_scale/public/default_images/default-news-image_0.png?itok=zUiC1Qw1,➖
Image,union minister visit,0.0,2,166.87567,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2022-07/dsc05910_0.jpg?itok=N-FaESGC,✔️
Image,union minister visit,0.0,3,166.87567,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2022-07/dsc06176.jpg?itok=R8mlPxuf,✔️
Image,union minister visit,0.0,4,166.87567,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2022-07/dsc06061.jpg?itok=ul89_7f5,✔️
Image,union minister visit,0.0,5,166.87567,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2022-07/dsc06155.jpg?itok=lc938noU,✔️
Image,union minister visit,0.0,6,166.87567,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2022-07/dsc06072.jpg?itok=90r4XIHz,✖️
Image,union minister visit,0.0,7,166.87567,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2022-07/dsc05901.jpg?itok=QRZ52o3c,✔️
Image,union minister visit,0.0,8,166.87567,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2022-07/dsc05989.jpg?itok=YwFsHRGm,✔️
Image,union minister visit,0.0,9,166.87567,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2022-07/dsc05930.jpg?itok=3ixOVafI,✔️
Image,union minister visit,0.0,10,166.87567,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2022-07/dsc06135.jpg?itok=jgWZy__h,✔️
Image,Volleyball ,0.0,1,23.96962,sac.iitpkd.ac.in:8090/sites/default/files/inline-images/DSC09810-min.JPG,✖️
Image,Volleyball ,0.0,2,23.96962,sac.iitpkd.ac.in:8090/sites/default/files/inline-images/DSC09860-min.JPG,✖️
Image,Volleyball ,0.0,3,23.96962,sac.iitpkd.ac.in:8090/sites/default/files/inline-images/SportacusVolleyball.JPG,✔️
Image,Volleyball ,0.0,4,5.848976,sac.iitpkd.ac.in:8090/sites/default/files/inline-images/DSC_0559.jpg,✖️
Image,transit campus,0.0,1,142.90184,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2018-06/1webdji_0067.jpg?itok=8xKX7eGa,✔️
Image,transit campus,0.0,2,142.90184,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2018-06/1img_1773.jpg?itok=m63JYb5u,✔️
Image,transit campus,0.0,3,142.90184,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2018-06/1dji_0048.jpg?itok=jETjht2q,✔️
Image,nila campus,0.0,1,146.1311,iitpkd.ac.in/sites/default/files/inline-images/Posterv5b.jpg,✖️
Image,nila campus,0.0,2,123.23044,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2019-06/dji_0150_0.jpg?itok=g_c8HeCu,✔️
Image,nila campus,0.0,3,123.23044,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2019-06/dsc02947_0.jpg?itok=IzvMP_ft,✔️
Image,nila campus,0.0,4,123.23044,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2019-06/dsc02714_0.jpg?itok=1Iv36Bv9,✔️
Image,nila campus,0.0,5,123.23044,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2019-06/dsc02671_0.jpg?itok=XDRpRMaI,✔️
Image,nila campus,0.0,6,123.23044,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2019-06/dji_0155_0.jpg?itok=gUx9LeAR,✔️
Image,nila campus,0.0,7,123.23044,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2019-06/dji_0178_0.jpg?itok=F0zsbpfm,✔️
Image,nila campus,0.0,8,123.23044,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2019-06/dji_0200_0.jpg?itok=MpnEtTU2,✔️
Image,nila campus,0.0,9,123.23044,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2019-06/dsc02684_0.jpg?itok=jBBkysKV,✔️
Image,nila campus,0.0,10,123.23044,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2019-06/dji_0207_0.jpg?itok=0DHEomMI,✔️
Image,Inauguration,0.0,1,86.25867,iitpkd.ac.in/sites/default/files/inline-images/Posterv5b.jpg,✔️
Image,Inauguration,0.0,2,78.33076,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2020-10/dsc04462.jpg?itok=hmTLxrl_,✔️
Image,Inauguration,0.0,3,78.33076,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2020-10/dsc04518.jpg?itok=eXspxKbS,✔️
Image,Inauguration,0.0,4,78.33076,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2020-10/dsc04894.jpg?itok=1hzoZZhf,✔️
Image,Inauguration,0.0,5,78.33076,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2020-10/dsc04521.jpg?itok=_WIbDn0_,✔️
Image,Inauguration,0.0,6,78.33076,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2020-10/dsc05121.jpg?itok=0jKLG1FO,✔️
Image,Inauguration,0.0,7,78.33076,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2020-10/dsc04446.jpg?itok=7mowidIp,✔️
Image,Inauguration,0.0,8,78.33076,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2020-10/dsc04330.jpg?itok=drffgbvo,✔️
Image,Inauguration,0.0,9,78.33076,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2020-10/dsc04523.jpg?itok=MMGyOBOi,✔️
Image,Inauguration,0.0,10,78.33076,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2020-10/dsc04809.jpg?itok=ndgQFgk7,✔️
Image,happy hour,0.0,1,193.7125,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2022-10/dsc02618.jpg?itok=9umATqht,✔️
Image,happy hour,0.0,2,193.7125,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2022-10/dsc02613.jpg?itok=m8sBioz_,✔️
Image,happy hour,0.0,3,193.7125,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2022-10/dsc02679.jpg?itok=QQFE_qJg,✔️
Image,happy hour,0.0,4,193.7125,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2022-10/dsc02626.jpg?itok=IL5SzGS2,✔️
Image,happy hour,0.0,5,193.7125,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2022-10/dsc02450.jpg?itok=GaJCP5mf,✔️
Image,happy hour,0.0,6,193.7125,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2022-10/dsc02479.jpg?itok=IJwa1zP6,✔️
Image,happy hour,0.0,7,193.7125,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2022-10/dsc02474.jpg?itok=91x8Ad83,✔️
Image,happy hour,0.0,8,193.7125,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2022-10/dsc02508.jpg?itok=JzFnaZE-,✔️
Image,happy hour,0.0,9,193.7125,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2022-10/dsc02458.jpg?itok=Y5OV044t,✔️
Image,happy hour,0.0,10,193.7125,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2022-10/dsc02655.jpg?itok=5ka3wYzy,✔️
Image,HPC,0.0,1,156.7082,iitpkd.ac.in/sites/default/files/2023-01/HPC_Lab_0.jpg,✔️
Image,HPC,0.0,2,112.868225,iitpkd.ac.in/sites/default/files/inline-images/HPC_Lab_0.jpg,✔️
Image,HPC,0.0,3,43.83998,iitpkd.ac.in/sites/default/files/styles/large/public/2023-01/HPC_Lab_0.jpg?itok=aekW4t2c,✔️
Image,HPC,0.0,4,39.23194,cse.iitpkd.ac.in/assets/img/scholars/112114004.jpg,✖️
Image,HPC,0.0,5,38.689713,cse.iitpkd.ac.in/assets/img/scholars/212214002.jpg,✖️
Image,HPC,0.0,6,37.875725,https://icsr.iitpkd.ac.in/sites/default/files/Selection_009.png,✔️
Image,HPC,0.0,7,37.277138,hpc.iitpkd.ac.in/sites/default/files/inline-images/chandra_pic_1.png,✔️
Image,HPC,0.0,8,37.277138,hpc.iitpkd.ac.in/sites/default/files/inline-images/chandra_pic_1.png,✔️
Image,HPC,0.0,9,31.983028,https://icsr.iitpkd.ac.in/sites/default/files/default_images/default-news-image_0.png,✖️
Image,HPC,0.0,10,9.359341,https://iitpkd.ac.in/sites/default/files/logo_2.png,✖️
Image,unity run,0.0,1,222.49117,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2018-11/img_20181031_173200_0.jpg?itok=cmyLgYbO,✔️
Image,unity run,0.0,2,162.6354,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2019-10/dsc04528_0.jpg?itok=QRChWKKF,✔️
Image,unity run,0.0,3,162.6354,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2019-10/dsc04480.jpg?itok=2d7rztCf,✔️
Image,unity run,0.0,4,162.6354,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2019-10/dsc04409_0.jpg?itok=qpkjqpzn,✔️
Image,unity run,0.0,5,162.6354,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2019-10/dsc04540.jpg?itok=mlRY_YOf,✔️
Image,unity run,0.0,6,162.6354,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2019-10/dsc04512_0.jpg?itok=YJFQtOIG,✔️
Image,unity run,0.0,7,162.6354,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2019-10/dsc04503a.jpg?itok=XR8AaGjf,✔️
Image,unity run,0.0,8,162.6354,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2019-10/dsc04563a.jpg?itok=UuNmc5Qo,✔️
Image,unity run,0.0,9,162.6354,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2019-10/dsc04485.jpg?itok=TenmJGop,✔️
Image,unity run,0.0,10,162.6354,iitpkd.ac.in/sites/default/files/styles/gallery_thumb/public/2019-10/dsc04496a.jpg?itok=3FqNLmYx,✔️
Keyword,chairman board of governors	,0.0,1,297.77225,https://iitpkd.ac.in/chairman-board-governors,✔️
Keyword,chairman board of governors	,0.0,2,140.49928,https://iitpkd.ac.in/notifications/convocation-2022,✖️
Keyword,chairman board of governors	,0.0,3,135.34503,https://iitpkd.ac.in/advisory-council,✔️
Keyword,chairman board of governors	,0.0,4,129.45091,https://iitpkd.ac.in/events/convocation-2022,✖️
Keyword,chairman board of governors	,0.0,5,128.27007,https://iitpkd.ac.in/events/convocation-2021,✖️
Keyword,chairman board of governors	,0.0,6,121.63376,https://iitpkd.ac.in/events/convocation-2019,✖️
Keyword,chairman board of governors	,0.0,7,113.603935,https://iitpkd.ac.in/news/curtains-well-attended-7th-institute-day-iit-palakkad,✔️
Keyword,chairman board of governors	,0.0,8,112.46661,https://iitpkd.ac.in/board-students-0,✖️
Keyword,chairman board of governors	,0.0,9,99.40973,https://iitpkd.ac.in/advisory-council-meeting-30-july-2021,✖️
Keyword,chairman board of governors	,0.0,10,95.59244,https://iitpkd.ac.in/news/30-july-2022-red-letter-day-iit-palakkads-4th-convocation,✖️
Keyword,Hostels	,0.0,1,60.479927,https://iitpkd.ac.in/hostels,✔️
Keyword,Hostels	,0.0,2,60.125526,https://iitpkd.ac.in/anti-ragging-committees-and-squads,✔️
Keyword,Hostels	,0.0,3,58.323185,https://iitpkd.ac.in/people/samuel,✔️
Keyword,Hostels	,0.0,4,55.82463,https://iitpkd.ac.in/faqs-btech-freshers,✖️
Keyword,Hostels	,0.0,5,55.75331,https://iitpkd.ac.in/anti-ragging-regulations-and-measures,✔️
Keyword,Hostels	,0.0,6,55.516968,https://iitpkd.ac.in/faqs-b.tech-freshers,✖️
Keyword,Hostels	,0.0,7,54.643463,https://sac.iitpkd.ac.in:8090/node/75,✖️
Keyword,Hostels	,0.0,8,53.024513,https://iitpkd.ac.in/board-students-0,✖️
Keyword,Hostels	,0.0,9,51.739807,https://iitpkd.ac.in/anti-ragging-policy,✔️
Keyword,Hostels	,0.0,10,51.04077,https://squest.iitpkd.ac.in/,✔️
Keyword,daily english capsule,0.0,1,154.75778,https://iitpkd.ac.in/elss,✔️
Keyword,daily english capsule,0.0,2,119.79971,https://iitpkd.ac.in/events/english-creative-writing-competition-inkeption,✖️
Keyword,daily english capsule,0.0,3,115.579155,https://iitpkd.ac.in/advertisement-elcp,✖️
Keyword,daily english capsule,0.0,4,96.498825,https://iitpkd.ac.in/notifications/iit-palakkad-invites-applications-post-english-language-consultant-contractual.,✖️
Keyword,daily english capsule,0.0,5,66.2987,https://iitpkd.ac.in/people/reenu,✖️
Keyword,daily english capsule,0.0,6,66.2987,https://iitpkd.ac.in/people/reenu,✖️
Keyword,daily english capsule,0.0,7,59.631668,https://iitpkd.ac.in/people/sujatha,✖️
Keyword,daily english capsule,0.0,8,55.991055,https://iitpkd.ac.in/people/232004002,✖️
Keyword,daily english capsule,0.0,9,44.75981,https://iitpkd.ac.in/people/232004001,✖️
Keyword,daily english capsule,0.0,10,44.269455,https://iitpkd.ac.in/people/232114002,✖️
Quotes,"""Lecture Series"" at  ""Palakkad District Library""",0.0,1,38.46467,https://iitpkd.ac.in/events/public-lecture-series-iit-palakkad,✔️
Quotes,"""Lecture Series"" at  ""Palakkad District Library""",0.0,2,23.676573,https://iitpkd.ac.in/news/pale-blue-dot-lecture-4-statistics-made-fun-and-interesting,✖️
Quotes,"""Lecture Series"" at  ""Palakkad District Library""",0.0,3,19.736706,https://iitpkd.ac.in/palebluedot,✔️
Quotes,"Research Programs in ""MS"" and ""Phd""",0.0,1,30.518934,https://cse.iitpkd.ac.in/ms-phd,✔️
Quotes,"Research Programs in ""MS"" and ""Phd""",0.0,2,24.828323,https://iitpkd.ac.in/notifications/msphd-admission-december-2022,✔️
Quotes,"Research Programs in ""MS"" and ""Phd""",0.0,3,24.119259,https://iitpkd.ac.in/research-programs-0,✔️
Quotes,"Research Programs in ""MS"" and ""Phd""",0.0,4,22.251083,https://iitpkd.ac.in/notifications/research-admissions-important-announcements,✔️
Quotes,"Research Programs in ""MS"" and ""Phd""",0.0,5,17.872091,https://cse.iitpkd.ac.in/programs-overview,✖️
Quotes,"Research Programs in ""MS"" and ""Phd""",0.0,6,17.226461,https://iitpkd.ac.in/programs,✔️
Quotes,"Research Programs in ""MS"" and ""Phd""",0.0,7,16.844048,https://iitpkd.ac.in/notifications/research-admissions-july-2023,✔️
Quotes,"Research Programs in ""MS"" and ""Phd""",0.0,8,16.6684,https://iitpkd.ac.in/notifications/research-admissions-july-2022,✔️
Quotes,"Research Programs in ""MS"" and ""Phd""",0.0,9,16.538532,https://cse.iitpkd.ac.in/research-symposium,✖️
Quotes,"Research Programs in ""MS"" and ""Phd""",0.0,10,16.14132,https://iitpkd.ac.in/graduate-research-council,✖️
Keyword,psychology councellor,0.0,1,14.551514,https://iitpkd.ac.in/people/counsellordrtessy,✔️
Keyword,psychology councellor,0.0,2,10.20953,https://iitpkd.ac.in/people/sudarshan,✔️
Keyword,psychology councellor,0.0,3,8.343301,https://iitpkd.ac.in/people/arya,✔️
Keyword,psychology councellor,0.0,4,8.259059,https://iitpkd.ac.in/notifications/list-eligible-and-ineligible-candidates-post-counsellor,✖️
Keyword,psychology councellor,0.0,5,7.5303745,https://iitpkd.ac.in/mitra,✔️
Keyword,psychology councellor,0.0,6,6.7927003,https://iitpkd.ac.in/news/iit-palakkad-proactively-explores-partnering-opportunities-state-capital,✖️
Keyword,psychology councellor,0.0,7,6.2167063,https://iitpkd.ac.in/news/dr-v-p-joy-ias-visits-iit-palakkad,✖️
Keyword,psychology councellor,0.0,8,6.1771383,https://iitpkd.ac.in/events/institute-day-2022,✖️
Keyword,psychology councellor,0.0,9,5.6657,https://iitpkd.ac.in/news/staff-workshop-celebrating-work-conducted-iit-palakkad,✖️
Keyword,psychology councellor,0.0,10,5.4208493,https://iitpkd.ac.in/wellness-hub,✔️
Quotes,"""Programme faculty"" for ""Cyber Security"" Postgraduation Course",0.0,1,34.09862,https://iitpkd.ac.in/notifications/post-graduation-certification-cyber-security,✔️
Quotes,"""Programme faculty"" for ""Cyber Security"" Postgraduation Course",0.0,2,22.378216,https://iitpkd.ac.in/cce,✔️
Quotes,"""Programme faculty"" for ""Cyber Security"" Postgraduation Course",0.0,3,12.832511,https://cse.iitpkd.ac.in/courses/cs5107-Programming-Lab,✖️
Quotes,"""Programme faculty"" for ""Cyber Security"" Postgraduation Course",0.0,4,10.5866785,https://cse.iitpkd.ac.in/courses/cs5016-Computational-Methods-and-Applications,✖️
Quotes,"""Programme faculty"" for ""Cyber Security"" Postgraduation Course",0.0,5,10.060719,https://cse.iitpkd.ac.in/courses/cs6005-Instructional-Design-and-Technologies#past-offerings,✖️
Quotes,"""Programme faculty"" for ""Cyber Security"" Postgraduation Course",0.0,6,10.060719,https://cse.iitpkd.ac.in/courses/cs6005-Instructional-Design-and-Technologies,✖️
Quotes,"""Programme faculty"" for ""Cyber Security"" Postgraduation Course",0.0,7,9.990134,https://cse.iitpkd.ac.in/courses/cs5617-Software-Engineering#past-offerings,✖️
Quotes,"""Programme faculty"" for ""Cyber Security"" Postgraduation Course",0.0,8,9.990134,https://cse.iitpkd.ac.in/courses/cs5617-Software-Engineering,✖️
Quotes,"""Programme faculty"" for ""Cyber Security"" Postgraduation Course",0.0,9,9.509029,https://cse.iitpkd.ac.in/courses/cs5119-Advanced-Computer-Architecture-Lab,✖️
Quotes,"""Programme faculty"" for ""Cyber Security"" Postgraduation Course",0.0,10,9.368536,https://cse.iitpkd.ac.in/courses/ds3010-Machine-Learning#past-offerings,✖️
Keyword,chemistry faculty,0.0,1,7.0899625,https://chemistry.iitpkd.ac.in,✔️
Keyword,chemistry faculty,0.0,2,6.768779,https://iitpkd.ac.in/news/house-chemistry-laboratory-safety-workshop-iit-pkd-enthuses-participants,✖️
Keyword,chemistry faculty,0.0,3,6.761962,https://chemistry.iitpkd.ac.in/node/1,✖️
Keyword,chemistry faculty,0.0,4,6.6749644,https://iitpkd.ac.in/chemistry,✔️
Keyword,chemistry faculty,0.0,5,6.650845,https://iitpkd.ac.in/news/iit-palakkad-chemistry-faculty-among-top-2-researchers,✔️
Keyword,chemistry faculty,0.0,6,6.3772116,https://iitpkd.ac.in/notifications/faculty-recruitment,✔️
Keyword,chemistry faculty,0.0,7,6.330443,https://iitpkd.ac.in/news/hot-article-honour-iit-pkd-researchers,✖️
Keyword,chemistry faculty,0.0,8,6.2743225,https://iitpkd.ac.in/news?page=14,✖️
Keyword,chemistry faculty,0.0,9,6.2219043,https://iitpkd.ac.in/news/iit-palakkad-faculty-advisory-board-2-journals,✖️
Keyword,chemistry faculty,0.0,10,6.075959,https://iitpkd.ac.in/centres,✖️
Quotes,"""Scholarships"" for ""OBC"" category students",0.0,1,14.39791,https://iitpkd.ac.in/news/phd-student-mr.-.-n.-madhavanunni-selected-ieee-embc-2021-student-paper-finalist,✖️
Quotes,"""Scholarships"" for ""OBC"" category students",0.0,2,13.564719,https://iitpkd.ac.in/news/iit-palakkad-students-excel-ieee-wireless-antenna-and-microwave-symposium-2022,✖️
Quotes,"""Scholarships"" for ""OBC"" category students",0.0,3,12.496386,https://iitpkd.ac.in/board-students-0,✖️
Quotes,"""Scholarships"" for ""OBC"" category students",0.0,4,11.816516,https://iitpkd.ac.in/student-clubs,✖️
Quotes,"""Scholarships"" for ""OBC"" category students",0.0,5,11.340778,https://iitpkd.ac.in/news/accolade-iit-palakkad-phd-student-international-environmental-research-conference-malaysia,✖️
Quotes,"""Scholarships"" for ""OBC"" category students",0.0,6,10.564183,https://ee.iitpkd.ac.in,✖️
Quotes,"""Scholarships"" for ""OBC"" category students",0.0,7,10.526977,https://iitpkd.ac.in/notifications/welcome-new-pg-students,✖️
Quotes,"""Scholarships"" for ""OBC"" category students",0.0,8,9.758052,https://iitpkd.ac.in/help-desk-prospective-girl-students,✖️
Quotes,"""Scholarships"" for ""OBC"" category students",0.0,9,9.758052,https://iitpkd.ac.in/notifications/help-desk-prospective-girl-students-1,✖️
Quotes,"""Scholarships"" for ""OBC"" category students",0.0,10,9.758052,https://iitpkd.ac.in/notifications/help-desk-prospective-girl-students-0,✖️
Quotes,"""Permanent campus"" location of IIT Palakkad",0.0,1,28.872316,https://cse.iitpkd.ac.in/location,✔️
Quotes,"""Permanent campus"" location of IIT Palakkad",0.0,2,22.453503,https://iitpkd.ac.in/gallery/permanent-campus-nov-2017,✖️
Quotes,"""Permanent campus"" location of IIT Palakkad",0.0,3,22.244814,https://iitpkd.ac.in/about-iit-palakkad,✔️
